designStorm,loadingRatio,depth,probabilityOfFailure,reliability
0.1,0,12,0,1.000000000
0.2,0,12,0,1.000000000
0.3,0,12,0,1.000000000
0.4,0,12,0,1.000000000
0.5,0,12,0,1.000000000
0.6,0,12,0,1.000000000
0.7,0,12,0,1.000000000
0.8,0,12,0,1.000000000
0.9,0,12,0,1.000000000
1,0,12,0,1.000000000
1.1,0,12,0,1.000000000
1.2,0,12,0,1.000000000
1.3,0,12,0,1.000000000
1.4,0,12,0,1.000000000
1.5,0,12,0,1.000000000
1.6,0,12,0,1.000000000
1.7,0,12,0,1.000000000
1.8,0,12,0,1.000000000
1.9,0,12,0,1.000000000
2,0,12,0,1.000000000
2.1,0,12,0,1.000000000
2.2,0,12,0,1.000000000
2.3,0,12,0,1.000000000
2.4,0,12,0,1.000000000
2.5,0,12,0,1.000000000
2.6,0,12,0,1.000000000
2.7,0,12,0,1.000000000
2.8,0,12,0,1.000000000
2.9,0,12,0,1.000000000
3,0,12,0,1.000000000
3.1,0,12,0,1.000000000
3.2,0,12,0,1.000000000
3.3,0,12,0,1.000000000
3.4,0,12,0,1.000000000
3.5,0,12,0,1.000000000
3.6,0,12,0,1.000000000
3.7,0,12,0,1.000000000
3.8,0,12,0,1.000000000
3.9,0,12,0,1.000000000
4,0,12,0,1.000000000
4.1,0,12,0,1.000000000
4.2,0,12,0,1.000000000
4.3,0,12,0,1.000000000
4.4,0,12,0,1.000000000
4.5,0,12,0,1.000000000
4.6,0,12,0,1.000000000
4.7,0,12,0,1.000000000
4.8,0,12,0,1.000000000
4.9,0,12,0,1.000000000
5,0,12,0,1.000000000
0.1,0,18,0,1.000000000
0.2,0,18,0,1.000000000
0.3,0,18,0,1.000000000
0.4,0,18,0,1.000000000
0.5,0,18,0,1.000000000
0.6,0,18,0,1.000000000
0.7,0,18,0,1.000000000
0.8,0,18,0,1.000000000
0.9,0,18,0,1.000000000
1,0,18,0,1.000000000
1.1,0,18,0,1.000000000
1.2,0,18,0,1.000000000
1.3,0,18,0,1.000000000
